Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.157855376,-0.071338356,-0.035480887,-0.033333778,0.086366632
0.162808188,-0.057673782,-0.037545875,-0.028874397,0.074630347
0.167761001,-0.062908113,-0.017429069,-0.031568527,0.072510517
0.172713813,-0.07264328,-0.030388057,-0.031977654,0.084988531
0.177666678,-0.068465829,-0.033798039,-0.021174431,0.079235306
0.182619543,-0.064606905,-0.014395505,-0.015544891,0.067992105
0.187572407,-0.065782845,-0.014141381,0.00113678,0.067295272
0.192525272,-0.090322256,-0.009311646,-0.028549194,0.095183366
0.197478188,-0.068359077,-0.009233117,0.025325775,0.07348203
0.202431105,-0.051900804,-0.018222854,0.031104088,0.06319201
0.207384022,-0.04075712,0.003186122,0.038994789,0.056496794
0.212336938,-0.039379835,-0.001362264,0.030555725,0.049862606
0.217289907,-0.035874128,0.005944774,0.024799347,0.044014782
0.222242876,-0.027766734,-0.005450502,0.035420418,0.045335477
0.227195845,-0.008155614,-0.025565252,0.00645256,0.027599487
0.232148813,-0.012114465,-0.014850482,0.010843277,0.022019849
0.237101834,-0.03695789,-0.013767749,-0.005718231,0.039851408
0.242054855,-0.047312438,-0.024432555,-0.042596817,0.068190215
0.247007876,-0.015645593,-0.016351268,-0.025026321,0.033741152
0.251960949,-0.012695104,-0.01798825,-0.024272919,0.032770679
0.256916209,-0.037785321,-0.024357095,-0.037503242,0.058544785
0.261871366,-0.034514457,-0.040039375,-0.031776428,0.061677717
0.26670897,-0.012965828,-0.020629689,-0.021572113,0.032543092
0.271622824,-0.01053381,-0.029773071,-0.020983696,0.037917178
0.276464491,0.017699867,-0.013106868,0.000541687,0.022031085
0.281321261,0.019676328,0.005454317,0.000514984,0.020424805
0.286177511,0.007610738,0.000212654,0.012161255,0.014347985
0.291033709,0.002852291,0.00923045,0.021195412,0.023293395
0.295892668,0.038053066,0.011196554,0.048722267,0.062827207
0.300748657,0.018788576,0.008678466,0.042898178,0.047629613
0.305603345,0.014009029,0.008673728,0.020852089,0.026576231
0.310460428,0.013852894,0.004106656,0.018046379,0.023117939
0.315318084,0.018161625,0.011465982,0.010639191,0.023968849
0.320174907,0.017700911,0.007130533,0.008084297,0.020724927
0.325030532,0.024289429,0.009918287,0.014962196,0.030202916
0.329846001,0.039964736,0.000922471,-0.008770943,0.040926281
0.334703449,0.027243912,-0.000964269,-0.015615463,0.031416608
0.339560116,0.071171761,-0.007626727,-0.015295982,0.073195311
0.344416053,0.062740028,-0.002538726,-0.026737213,0.068246867
0.349272772,0.05225575,-0.011931822,-0.026238441,0.0596782
0.354130324,0.07264632,-0.011928886,-0.03046608,0.079674137
0.358986991,0.045736074,-0.009697556,-0.006425858,0.047192401
0.36384298,0.063938498,-0.005275995,-0.003978729,0.064279063
0.368699595,0.046560466,0.001360789,-0.015688896,0.049151503
0.373557876,0.055146813,-0.003938377,0.003396034,0.055391469
0.378413918,0.068366706,0.021498874,0.022153854,0.075013341
0.383269855,0.060196996,0.041979983,0.026486397,0.078022603
0.388126522,0.047410548,0.022277519,0.037823677,0.064611752
0.392984022,0.027602494,0.028979346,0.034869194,0.053080701
0.397840741,0.036273718,0.038053825,0.029622078,0.060343548
0.402696678,0.061428845,0.035495326,0.033890724,0.07862571
